name,nickname,country,team,position,age,games_played,time_played,goals,goal_assists,headed_goals,left_foot_goals,right_foot_goals,penalties_taken,penalty_goals,penalties_faced,penalties_saved,total_saves,total_passes,Total_successful_passes,total_unsuccessful_passes,unsuccessful_dribbles,successful_dribbles,clean_sheets,total_shots,tackles_lost,tackles_won,yellow_cards,total_red_cards
Asier Illarramendi,Illarra,ES,Real Sociedad,Midfielder,32,8,377,0,0,0,0,0,0,0,0,0,0,821,745,76,4,3,0,0,4,5,1,0
Cristo Romero,Romero,ES,Real Sociedad,Defender,22,1,16,0,0,0,0,0,0,0,0,0,0,22,20,2,2,0,0,1,0,0,0,0
David Silva,Silva,ES,Real Sociedad,Midfielder,36,25,1731,2,4,1,1,0,0,0,0,0,0,2945,2687,258,15,29,3,16,11,17,4,1
Diego Rico,Rico,ES,Real Sociedad,Defender,29,21,1646,0,0,0,0,0,0,0,0,0,0,2401,1941,460,17,12,7,7,21,20,4,0
GermÃ¡n Valera,Valera,ES,Real Sociedad,Forward,20,3,49,0,0,0,0,0,0,0,0,0,0,49,42,7,5,2,0,0,1,2,0,0
Igor Zubeldia,Zubeldia,ES,Real Sociedad,Midfielder,25,26,1648,0,1,0,0,0,0,0,0,0,0,2951,2692,259,3,3,3,7,10,10,7,0
Jon Guridi,Guridi,ES,Real Sociedad,Midfielder,27,8,200,1,0,1,0,0,0,0,0,0,0,216,171,45,4,5,0,2,2,3,0,0
Jon Karrikaburu,Karrikaburu,ES,Real Sociedad,Forward,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan GÃ³mez,Gomez,MX,Real Sociedad,Defender,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseba Zaldua,Zaldua,ES,Real Sociedad,Defender,30,24,1170,0,0,0,0,0,0,0,0,0,0,1304,1086,218,5,3,4,5,9,22,6,0
Julen Lobete,Lobete,ES,Real Sociedad,Forward,22,13,276,2,0,0,1,1,0,0,0,0,0,148,126,22,6,3,1,6,1,3,0,0
MartÃ­n Zubimendi,Zubimendi,ES,Real Sociedad,Midfielder,23,36,2585,2,1,1,0,1,0,0,0,0,0,4126,3708,418,7,17,12,18,27,25,4,0
Mathew Ryan,Ryan,AU,Real Sociedad,Goalkeeper,30,3,270,0,0,0,0,0,0,0,1,0,10,217,137,80,0,0,1,0,0,0,0,0
Mikel Merino,Merino,ES,Real Sociedad,Midfielder,26,34,2894,3,2,0,2,1,0,0,0,0,0,4796,4006,790,19,28,14,33,33,38,8,0
Mikel Oyarzabal,Oyarzabal,ES,Real Sociedad,Forward,25,22,1673,9,3,2,6,1,5,4,0,0,0,1501,1159,342,21,22,5,29,8,10,0,1
Cristian PortuguÃ©s Manzanera,Portu,ES,Real Sociedad,Midfielder,30,37,1586,1,2,0,0,1,1,1,0,0,0,1243,1011,232,9,9,1,16,9,7,5,0
Rafael AlcÃ¡ntara do Nascimento,Rafael,BR,Real Sociedad,Midfielder,29,17,1060,1,0,0,1,0,0,0,0,0,0,1887,1720,167,18,18,0,11,16,27,3,0
Robin Le Normand,Le Normand,FR,Real Sociedad,Defender,26,37,3330,1,1,1,0,0,0,0,0,0,0,6136,5619,517,2,1,19,13,17,32,7,0
Alejandro Remiro Gargallo,A. Remiro,ES,Real Sociedad,Goalkeeper,27,35,3150,0,0,0,0,0,0,0,5,1,80,2852,2244,608,0,0,19,0,0,0,1,0
Alberto Flores,Alberto F.,ES,Sevilla FC,Goalkeeper,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Pastor,Alfonso P.,ES,Sevilla FC,Goalkeeper,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Martial,Martial,FR,Sevilla FC,Forward,26,9,495,0,1,0,0,0,0,0,0,0,0,429,376,53,9,7,0,6,1,1,1,0
Antonio Zarzana,Zarzana,ES,Sevilla FC,Forward,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Lamela,E. Lamela,AR,Sevilla FC,Midfielder,30,20,1014,5,2,0,4,1,0,0,0,0,0,1350,1211,139,16,18,1,18,13,18,5,0
Fernando Francisco Reges,Fernando,BR,Sevilla FC,Midfielder,35,24,1850,1,1,0,0,1,0,0,0,0,0,3570,3301,269,4,7,7,4,7,17,6,0
Gonzalo Montiel,G. Montiel,AR,Sevilla FC,Defender,25,18,1068,1,2,0,0,1,0,0,0,0,0,1577,1311,266,5,3,4,5,11,4,7,0
Ivan Rakitic,I. Rakitic,HR,Sevilla FC,Midfielder,34,35,2185,4,6,0,0,4,2,1,0,0,0,4463,3969,494,13,8,4,25,18,22,5,0
IvÃ¡n Romero,IvÃ¡n,ES,Sevilla FC,Forward,21,5,178,0,0,0,0,0,0,0,0,0,0,92,80,12,6,3,0,1,0,2,0,0
Javier DÃ­az,Javi Diaz,ES,Sevilla FC,Goalkeeper,25,1,90,0,0,0,0,0,0,0,0,0,1,85,73,12,0,0,0,0,0,0,0,0
JesÃºs Corona,Tecatito,MX,Sevilla FC,Forward,29,18,1161,2,4,1,1,0,0,0,0,0,0,1510,1286,224,25,19,1,10,5,7,2,0
JesÃºs Navas,J. Navas,ES,Sevilla FC,Defender,36,25,1788,0,3,0,0,0,0,0,0,0,0,3202,2699,503,9,6,8,8,5,13,4,0
Joan JordÃ¡n,JordÃ¡n,ES,Sevilla FC,Midfielder,28,36,2527,0,1,0,0,0,0,0,0,0,0,5154,4723,431,14,23,6,11,31,30,9,0
JosÃ© Ãngel Carmona,Carmona,ES,Sevilla FC,Defender,20,1,23,0,0,0,0,0,0,0,0,0,0,23,17,6,0,1,0,0,0,0,0,0
Juan Luis SÃ¡nchez Velasco,Juanlu,ES,Sevilla FC,Defender,19,1,4,0,0,0,0,0,0,0,0,0,0,10,6,4,0,0,0,0,1,0,1,0
Jules KoundÃ©,Kounde,FR,Sevilla FC,Defender,24,32,2737,2,1,1,0,1,0,0,0,0,0,6034,5553,481,15,24,13,10,23,17,2,2
Karim Rekik,K. Rekik,NL,Sevilla FC,Defender,27,18,1094,0,2,0,0,0,0,0,0,0,0,2127,1983,144,3,5,3,4,3,8,2,0
Enrique JesÃºs Salas Valiente,Kike Salas,ES,Sevilla FC,Defender,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Ocampos,L. Ocampos,AR,Sevilla FC,Forward,28,30,2124,6,4,1,2,3,0,0,0,0,0,2102,1798,304,58,37,5,41,21,24,7,0
Ludwig Augustinsson,Augustinsson,SE,Sevilla FC,Defender,28,19,789,0,1,0,0,0,0,0,0,0,0,1239,1074,165,0,2,2,3,4,14,3,0
Luis Miguel Cruz HernÃ¡ndez,Luismi Cruz,ES,Sevilla FC,Forward,21,2,12,0,0,0,0,0,0,0,0,0,0,14,6,8,0,1,0,0,0,0,0,0
Marcos AcuÃ±a,AcuÃ±a,AR,Sevilla FC,Defender,31,31,2264,1,3,0,1,0,0,0,0,0,0,4533,3911,622,22,44,10,10,21,29,10,0
Marko Dmitrovic,Dmitrovic,RS,Sevilla FC,Goalkeeper,30,6,540,0,0,0,0,0,0,0,0,0,15,517,441,76,0,0,4,0,0,0,1,0
Munir El-Haddadi,Munir,MA,Sevilla FC,Forward,27,16,468,2,0,0,2,0,0,0,0,0,0,352,296,56,6,2,0,9,4,4,3,0
Ignacio Quintana Navarro,N. Quintana,ES,Sevilla FC,Midfielder,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Gudelj,Gudelj,RS,Sevilla FC,Midfielder,30,21,1040,0,0,0,0,0,0,0,0,0,0,1926,1782,144,0,0,4,4,9,7,5,0
Pablo PÃ©rez,Pablo P.,ES,Sevilla FC,Defender,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro GÃ³mez,Papu Gomez,AR,Sevilla FC,Midfielder,34,29,1787,5,1,0,1,4,0,0,0,0,0,2632,2397,235,26,28,3,24,8,11,4,0
Pedro Ortiz,P. Ortiz,ES,Sevilla FC,Defender,22,1,6,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,1,0,0,0,0
Rafael Mir Vicente,Rafa Mir,ES,Sevilla FC,Forward,25,34,1801,10,0,2,2,6,0,0,0,0,0,888,659,229,11,12,2,52,1,3,6,0
JesÃºs FernÃ¡ndez Saez,Suso,ES,Sevilla FC,Forward,28,8,388,0,1,0,0,0,0,0,0,0,0,478,402,76,5,7,0,3,1,3,0,0
Thomas Delaney,Delaney,DK,Sevilla FC,Midfielder,31,26,1544,2,1,0,2,0,0,0,0,0,0,2192,1837,355,3,6,3,12,17,24,2,1
Valentino Fattore,Valentino,ES,Sevilla FC,Defender,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yassine Bounou,Bono,MA,Sevilla FC,Goalkeeper,31,31,2790,0,2,0,0,0,0,0,4,1,76,2394,1898,496,0,1,13,0,0,0,2,0
Youssef En-Nesyri,Y. En-Nesyri,MA,Sevilla FC,Forward,25,23,1279,5,1,3,2,0,1,1,0,0,0,475,348,127,10,4,1,34,5,5,1,0
Ã“liver Torres,Oliver T.,ES,Sevilla FC,Midfielder,28,26,1006,2,3,0,0,2,0,0,0,0,0,1750,1510,240,11,15,0,10,10,12,2,0
Alessandro Burlamaqui,Burlamaqui,PE,Valencia CF,Midfielder,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Gil,Bryan,ES,Valencia CF,Forward,21,13,755,0,1,0,0,0,0,0,0,0,0,566,433,133,18,17,1,7,5,8,3,0
Carlos Soler,C.soler,ES,Valencia CF,Midfielder,25,32,2480,11,5,1,0,10,7,7,0,0,0,2345,1819,526,19,19,6,36,10,19,4,0
Carlos Manuel PÃ©rez SÃ¡nchez,Charly,ES,Valencia CF,Goalkeeper,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristhian Mosquera,Cristhian,ES,Valencia CF,Defender,18,6,209,0,0,0,0,0,0,0,0,0,0,214,192,22,0,0,0,1,2,2,1,0
CÃ©sar TÃ¡rrega,C. TÃ¡rrega,ES,Valencia CF,Defender,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Cheryshev,Cheryshev,RU,Valencia CF,Forward,31,17,555,0,1,0,0,0,0,0,0,0,0,400,292,108,5,6,0,7,9,5,1,0
Diego LÃ³pez,Diego LÃ³pez,ES,Valencia CF,Forward,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimitri Foulquier,Foulquier,GP,Valencia CF,Defender,29,29,2339,0,1,0,0,0,0,0,0,0,0,1992,1469,523,10,23,9,14,19,17,11,0
Eray CÃ¶mert,CÃ¶mert,CH,Valencia CF,Defender,24,8,408,0,0,0,0,0,0,0,0,0,0,562,500,62,0,0,0,3,2,3,2,0
Gabriel Armando de Abreu,G.paulista,BR,Valencia CF,Defender,31,19,1596,2,1,0,0,2,0,0,0,0,0,1711,1427,284,1,1,7,6,9,12,2,0
Giorgi Mamardashvili,Mamardashvili,GE,Valencia CF,Goalkeeper,22,18,1620,0,0,0,0,0,0,0,2,0,55,961,541,420,0,0,8,0,0,0,2,0
GonÃ§alo Manuel Ganchinho Guedes,Guedes,PT,Valencia CF,Midfielder,25,36,2613,11,6,3,2,6,2,1,0,0,0,2061,1519,542,60,64,2,50,7,14,3,0
Hugo Duro,Hugo Duro,ES,Valencia CF,Forward,23,30,1844,7,1,2,3,2,0,0,0,0,0,1008,787,221,12,13,1,26,6,19,2,1
Hugo Gonzalez,Hugo GonzÃ¡lez,ES,Valencia CF,Midfielder,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo GuillamÃ³n,Hugo G.,ES,Valencia CF,Defender,22,31,2366,1,0,0,0,1,0,0,0,0,0,2996,2561,435,6,10,3,5,16,27,8,2
HÃ©lder Wander Sousa de Azevedo e Costa,HÃ©lder Costa,AO,Valencia CF,Midfielder,28,22,1117,0,1,0,0,0,0,0,0,0,0,718,538,180,35,23,2,6,11,16,3,0
Moriba Kourouma Kourouma,Ilaix,GN,Valencia CF,Midfielder,19,14,817,0,0,0,0,0,0,0,0,0,0,769,639,130,7,7,1,10,8,18,7,1
Jasper Cillessen,Cillessen,NL,Valencia CF,Goalkeeper,33,17,1458,0,1,0,0,0,0,0,6,1,50,890,598,292,0,0,3,0,0,0,1,0
Jaume DomÃ©nech,Domenech,ES,Valencia CF,Goalkeeper,32,4,342,0,0,0,0,0,0,0,0,0,8,229,145,84,0,0,1,0,0,0,2,0
Javier Guerra,Javi Guerra,ES,Valencia CF,Midfielder,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JesÃºs VÃ¡zquez,J. VÃ¡zquez,ES,Valencia CF,Defender,19,15,812,0,0,0,0,0,0,0,0,0,0,664,515,149,9,25,2,3,11,13,0,0
JosÃ© David Menargues Manzanares,Joseda,ES,Valencia CF,Defender,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JosÃ© GayÃ ,GayÃ ,ES,Valencia CF,Defender,27,24,1874,2,4,0,2,0,0,0,0,0,0,1789,1416,373,13,16,5,17,14,21,7,2
Koba Koindredi,K.koba LeÃ¯n,FR,Valencia CF,Midfielder,21,10,175,0,0,0,0,0,0,0,0,0,0,120,90,30,1,2,0,1,1,3,1,0
Lassina Sangare,S. Lassina,CI,Valencia CF,Midfielder,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos AndrÃ© de Sousa MendonÃ§a,Marcos Andre,BR,Valencia CF,Forward,26,29,961,1,3,0,0,1,0,0,0,0,0,469,354,115,19,14,0,25,4,11,3,0
Mario Dominguez,Mario,ES,Valencia CF,Forward,18,2,23,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0
Maximiliano GÃ³mez,M. GÃ³mez,UY,Valencia CF,Forward,26,29,1960,5,1,1,0,3,0,0,0,0,0,1028,741,287,13,5,4,29,2,3,5,1
Mouctar Diakhaby,Diakhaby,GN,Valencia CF,Defender,25,29,1945,0,1,0,0,0,0,0,0,0,0,1950,1582,368,6,13,5,6,11,24,11,0
Omar Alderete,Omar Alderete,PY,Valencia CF,Defender,25,29,2411,2,0,2,0,0,0,0,0,0,0,2447,1699,748,1,13,7,17,19,34,15,0
Pedro AlemaÃ±,P. AlemaÃ±,ES,Valencia CF,Midfielder,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RubÃ©n Iranzo,R. Iranzo,ES,Valencia CF,Defender,19,4,134,0,0,0,0,0,0,0,0,0,0,131,113,18,0,0,0,1,0,3,2,0
Thierry Rendall Correia,Thierry R.,PT,Valencia CF,Defender,23,19,1424,0,1,0,0,0,0,0,0,0,0,1336,1011,325,11,11,5,2,12,23,5,0
Antonio Latorre,Lato,ES,Valencia CF,Defender,24,11,591,0,1,0,0,0,0,0,0,0,0,658,533,125,0,8,1,0,5,12,5,0
Uros Racic,RaÄiÄ‡,RS,Valencia CF,Midfielder,24,28,1198,0,0,0,0,0,0,0,0,0,0,1361,1094,267,4,14,0,11,14,18,1,1
Yunus Musah,Musah,US,Valencia CF,Midfielder,19,29,1259,1,0,0,0,1,0,0,0,0,0,964,785,179,28,36,0,4,10,13,5,0
AdriÃ¡n De la Fuente,De La Fuente,ES,Villarreal CF,Defender,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,Alberto M.,ES,Villarreal CF,Defender,30,24,1222,3,2,0,3,0,0,0,0,0,0,1560,1373,187,7,10,3,14,6,7,3,0
Alfonso Pedraza,A. Pedraza,ES,Villarreal CF,Forward,26,28,1703,4,4,1,2,1,0,0,0,0,0,2123,1704,419,30,31,3,18,18,16,2,0
Antonio Pacheco,Pacheco,ES,Villarreal CF,Midfielder,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnaut Danjuma,Danjuma,NL,Villarreal CF,Midfielder,25,23,1477,10,3,0,4,6,3,3,0,0,0,975,795,180,28,33,0,47,1,6,2,0
AÃ¯ssa Mandi,Mandi,DZ,Villarreal CF,Defender,31,17,1374,1,0,1,0,0,0,0,0,0,0,2861,2723,138,0,0,5,9,6,5,3,0
Boulaye Dia,Dia,SN,Villarreal CF,Forward,25,25,1266,5,5,1,1,3,0,0,0,0,0,677,552,125,10,11,2,22,2,6,3,0
Carlo GarcÃ­a,Carlo Adriano,ES,Villarreal CF,Midfielder,21,1,6,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
Daniel Parejo,Parejo,ES,Villarreal CF,Midfielder,33,33,2708,2,10,0,1,1,1,1,0,0,0,5746,5163,583,8,25,7,11,14,29,3,0
Etienne Capoue,Capoue,FR,Villarreal CF,Midfielder,34,30,2295,1,1,0,0,1,0,0,0,0,0,3766,3456,310,14,41,6,11,18,26,9,0
Filip JÃ¶rgensen,JÃ¶rgensen,DK,Villarreal CF,Goalkeeper,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Coquelin,Coquelin,FR,Villarreal CF,Midfielder,31,20,826,2,1,0,0,2,0,0,0,0,0,1349,1216,133,3,17,0,4,9,17,3,0
Gerard Moreno,Gerard,ES,Villarreal CF,Forward,30,17,1194,9,3,2,7,0,2,1,0,0,0,1169,897,272,22,39,2,29,3,2,2,0
GerÃ³nimo Rulli,Rulli,AR,Villarreal CF,Goalkeeper,30,32,2880,0,0,0,0,0,0,0,4,1,75,2907,2439,468,0,1,14,0,0,0,2,0
Iker Ãlvarez de Eulate Molne,Iker Alvarez,AD,Villarreal CF,Goalkeeper,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Carlos Arana GÃ³mez,Arana,ES,Villarreal CF,Forward,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Foyth,Foyth,AR,Villarreal CF,Defender,24,25,1932,1,1,1,0,0,0,0,0,0,0,2760,2446,314,12,28,4,5,20,49,4,1
JosÃ© Manuel Cabrera,Lanchi,ES,Villarreal CF,Defender,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Trigueros MuÃ±oz,M. Trigueros,ES,Villarreal CF,Midfielder,31,35,2191,6,4,0,1,5,0,0,0,0,0,3319,2835,484,7,8,2,31,20,25,3,0
Mario Gaspar PÃ©rez MartÃ­nez,Mario Gaspar,ES,Villarreal CF,Defender,31,12,621,0,0,0,0,0,0,0,0,0,0,855,725,130,1,3,2,1,6,4,1,0
MoisÃ©s GÃ³mez Bardonado,Moi GÃ³mez,ES,Villarreal CF,Midfielder,28,29,1277,2,2,0,1,1,0,0,0,0,0,1593,1379,214,9,13,1,8,8,7,2,0
Nicolas Jackson,N.jackson,SN,Villarreal CF,Forward,21,9,158,0,0,0,0,0,0,0,0,0,0,137,112,25,2,4,0,3,2,0,1,0
Nikita Iosifov,Nikita,RU,Villarreal CF,Midfielder,21,1,1,0,0,0,0,0,0,0,0,0,0,8,6,2,0,1,0,0,0,0,0,0
Francisco AlcÃ¡cer,Paco AlcÃ¡cer,ES,Villarreal CF,Forward,29,18,790,1,3,0,1,0,0,0,0,0,0,442,343,99,5,5,0,15,6,3,1,0
Pau Torres,Pau,ES,Villarreal CF,Defender,25,33,2856,5,1,2,3,0,0,0,0,0,0,5576,5008,568,3,25,11,20,13,19,5,0
Pervis EstupiÃ±Ã¡n,EstupiÃ±Ã¡n,EC,Villarreal CF,Defender,24,28,1574,0,1,0,0,0,0,0,0,0,0,2382,2017,365,18,17,4,11,14,22,3,0
RaÃºl Albiol,R. Albiol,ES,Villarreal CF,Defender,37,28,2466,0,0,0,0,0,0,0,0,0,0,4404,3967,437,1,3,11,5,11,15,8,0
RubÃ©n PeÃ±a,R. PeÃ±a,ES,Villarreal CF,Forward,31,7,127,0,0,0,0,0,0,0,0,0,0,129,107,22,3,2,0,3,2,0,1,0
Samuel Chukwueze,Chukwueze,NG,Villarreal CF,Midfielder,23,27,1329,3,3,0,3,0,0,0,0,0,0,1226,994,232,59,67,1,23,4,9,4,0
Serge Aurier,Serge Aurier,CI,Villarreal CF,Defender,29,19,1003,0,1,0,0,0,0,0,0,0,0,1815,1617,198,5,14,3,7,5,9,4,0
Vicente Iborra,Iborra,ES,Villarreal CF,Midfielder,34,20,1031,0,1,0,0,0,0,0,0,0,0,1803,1623,180,2,2,4,6,9,10,4,0
Yeremi Pino,Yeremy,ES,Villarreal CF,Forward,20,31,1685,6,4,1,1,4,0,0,0,0,0,1439,1212,227,31,25,0,24,18,14,2,0
